title,name,occ,prop,prop_women,Education,Earnings,Prestige,Status,DSEI,TSEI,MSEI,FSEI,TSEI_E,MSEI_E,FSEI_E,TSEI_I,MSEI_I,FSEI_I,OPR,OEP,SIOPS,ISEI,ICAMS,GOEP
1. Management government officials,Management government officials,1,0.13563293447626817,0.10763917978348536,14.666421251377633,6.638980484896672,63.3,62.200001,68.451881,68.46101214375,69.5811688125,63.73537980625,49.0852786875,48.9283888,49.4732423125,80.76461521875,80.1153166625,69.5836475375,64.12820168824756,92,67,70,69.02,85
2. Company officers,Company officers,2,1.551258801794833,0.1281804918982991,14.229690931767536,6.475926991891629,73,61.799999,64.121567,60.755054275,62.7850353875,52.402281725,48.33590416875,48.1210256875,48.51548405625,62.72532238125,66.031431800000007,53.40091579375,58.76922106014751,88,70,70,66.87,89
"3. Officers of other corporations, organizations","Officers of other corporations, organizations",3,0.07274395979897441,0.19859043052924016,15.01195857780746,6.36792667637499,63.3,68.800003,68.965759,62.49091289375,65.44516706875,53.5853136375,50.40490969375,49.9468864625,51.65699118125,60.2476563625,66.0213692375,51.9600845,68.76993107611804,92,70,70,66.87,89
4. Administrative and managerial workers of corporations and organizations,Administrative and managerial workers of corporations and organizations,4,0.4950246018841405,0.045483576681629834,14.454048558794087,6.598181226907668,56.6,53,65.252792,64.15098035,65.36005050625,56.56184755625,48.5110638,48.4112707375,47.8388692375,69.92252093125,70.50956544375,59.460828625,61.33318202717183,88,63,67,62.86,75
5. Administrative and managerial workers not classified elsewhere,Administrative and managerial workers not classified elsewhere,5,0.074713294888815,0.20619672195697072,13.36447029431382,5.573784323232167,53.3,51,50.128162,49.987892225,52.46110176875,45.18168695,47.047402525,46.47045994375,48.4879880625,49.4560497,53.58972011875,44.7185613625,47.54218293829978,40,50,51,57.27,49
6. Natural science researchers,Natural science researchers,6,0.22479848979710185,0.1886831102015451,16.958535677068184,6.438411368494428,67.6,70.5,68.257042,70.80791058125,74.568161425,58.37544285625,55.40019464375,55.2027953125,56.93286546875,64.3762812125,71.3366576125,52.43610126875,88.2503427080354,84,63,69,75.42,80
"7. Humanities, social science, and other researchers","Humanities, social science, and other researchers",7,0.010576620970387711,0.15341205968208294,17.267958862652442,6.335160947176594,67.6,75.599998,71.246132,69.87617624375,71.87888008125,60.0682878375,70.2823773625,67.34124265625,63.9640369,56.9984448625,62.03248623125,52.1511610875,92.52301213160348,82,58,65,76.83,58
"8. Agriculture, forestry, fishery and food engineers","Agriculture, forestry, fishery and food engineers",8,0.1046168407027597,0.1768157657226869,15.176077009134989,6.189031079912453,67.6,55.799999,62.467365,58.87711850625,60.04254404375,55.4630142875,51.233661875,50.938285025,52.7051406375,55.99219375625,59.05603379375,51.7845783625,70.09347453475303,72,47,50,56.58,52
"9. Electrical, electronic, telecommunications engineers (except communication network engineers)","Electrical, electronic, telecommunications engineers (except communication network engineers)",9,0.6220242327489606,0.04048319138451491,15.270222917757593,6.463447688531838,62.5,56.200001,64.046021,64.89657050625,65.95470275625,55.319973575,49.87512234375,49.7411406125,50.84695751875,67.34306760625,68.62364449375,53.82424163125,70.04957363576152,78,65,68,73,82
10. Machinery engineers,Machinery engineers,10,0.47908916995928336,0.04008585709552285,15.27364931360726,6.3917460001374105,62.5,54.900002,63.776367,64.274052275,65.3660383,52.95337514375,50.58665956875,50.5179826875,50.5172504375,64.390880475,66.15326586875,51.2689867375,70.68929275603062,77,66,67,73,81
