occ,jtitle
1,管理的公務員
2,会社役員
3,その他の法人・団体役員
4,法人・団体管理的職業従事者
5,他に分類されない管理的職業従事者
6,自然科学系研究者
7,人文・社会科学系等研究者
8,農林水産・食品技術者
9,電気・電子・電気通信技術者（通信ネットワーク技術者を除く）
10,機械技術者
11,輸送用機器技術者
12,金属技術者
13,化学技術者
14,建築技術者
15,土木・測量技術者
16,システムコンサルタント・設計者
17,ソフトウェア作成者
18,その他の情報処理・通信技術者
19,その他の技術者
20,医師
21,歯科医師
22,獣医師
23,薬剤師
24,保健師
25,助産師
26,看護師（准看護師を含む）
27,診療放射線技師
28,臨床検査技師
29,理学療法士，作業療法士
30,視能訓練士，言語聴覚士
31,歯科衛生士
32,歯科技工士
33,栄養士
34,あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師
35,その他の保健医療従事者
36,保育士
37,その他の社会福祉専門職業従事者
38,裁判官，検察官，弁護士
39,弁理士，司法書士
40,その他の法務従事者
41,公認会計士
42,税理士
43,社会保険労務士
44,その他の経営・金融・保険専門職業従事者
45,幼稚園教員
46,小学校教員
47,中学校教員
48,高等学校教員
49,特別支援学校教員
50,大学教員
51,その他の教員
52,宗教家
53,著述家
54,記者，編集者
55,彫刻家，画家，工芸美術家
56,デザイナー
57,写真家，映像撮影者
58,音楽家
59,舞踊家，俳優，演出家，演芸家
60,図書館司書，学芸員
61,個人教師（音楽）
62,個人教師（舞踊，俳優，演出，演芸）
63,個人教師（スポーツ）
64,個人教師（学習指導）
65,個人教師（他に分類されないもの）
66,職業スポーツ従事者
67,通信機器操作従事者
68,他に分類されない専門的職業従事者
69,庶務・人事事務員
70,受付・案内事務員
71,電話応接事務員
72,総合事務員
73,その他の一般事務従事者
74,会計事務従事者
75,生産関連事務従事者
76,営業・販売事務従事者
77,集金人
78,調査員
79,その他の外勤事務従事者
80,運輸事務員
81,郵便事務員
82,パーソナルコンピュータ操作員
83,データ・エントリー装置操作員
84,その他の事務用機器操作員
85,小売店主・店長
86,卸売店主・店長
87,販売店員
88,商品訪問・移動販売従事者
89,再生資源回収・卸売従事者
90,商品仕入外交員
91,不動産仲介・売買人
92,保険代理・仲立人（ブローカー）
93,その他の販売類似職業従事者
94,医薬品営業職業従事者
95,機械器具・通信・システム営業職業従事者
96,金融・保険営業職業従事者
97,不動産営業職業従事者
98,その他の営業職業従事者
99,家政婦（夫），家事手伝い
100,その他の家庭生活支援サービス職業従事者
101,介護職員（医療・福祉施設等）
102,訪問介護従事者
103,看護助手
104,その他の保健医療サービス職業従事者
105,理容師
106,美容師
107,美容サービス従事者（美容師を除く）
108,浴場従事者
109,クリーニング職，洗張職
110,調理人
111,バーテンダー
112,飲食店主・店長
113,旅館主・支配人
114,飲食物給仕・身の回り世話従事者
115,接客社交従事者
116,娯楽場等接客員
117,マンション・アパート・下宿・寄宿舎・寮管理人
118,ビル管理人
119,駐車場管理人
120,旅行・観光案内人
121,物品一時預り人
