occ,gender,edu_1,edu_2,edu_3,edu_4,edu_5
1,Men,1090,18870,2620,30400,960
1,Women,70,1990,1100,1750,120
2,Men,66160,314780,55800,402860,64700
2,Women,13300,66230,32480,26140,14400
3,Men,1540,12660,2370,25260,1760
3,Women,320,2340,3010,3590,370
4,Men,3850,60210,11910,91660,7750
4,Women,270,3410,2110,2290,550
5,Men,9650,29380,3890,16410,4660
5,Women,3620,9490,3220,2280,1720
6,Men,0,5850,2720,78840,2140
6,Women,0,730,1690,15280,440
7,Men,0,160,50,3800,90
7,Women,0,30,50,1320,30
8,Men,510,10470,7050,22560,1080
8,Women,50,980,1520,5270,180
9,Men,2100,67280,28090,175920,7660
9,Women,30,1970,2130,6430,120
10,Men,1450,45460,22700,120200,5790
10,Women,30,2040,1570,4110,220
11,Men,570,19380,9440,61050,1870
11,Women,10,910,550,1590,20
12,Men,0,4380,1460,13550,690
12,Women,0,40,90,420,0
13,Men,260,8430,3510,49510,1300
13,Women,10,830,1010,8220,370
14,Men,2890,53320,30320,102250,7970
14,Women,160,3030,5140,9830,590
15,Men,4130,80010,35000,108940,8580
15,Women,40,1530,1040,3100,150
16,Men,1150,56140,75090,260960,11470
16,Women,120,4470,9880,38930,1370
17,Men,1350,45100,55200,166830,7490
17,Women,140,6670,11530,26740,1350
18,Men,410,22630,20780,55740,2940
18,Women,40,2580,4350,8240,500
19,Men,800,12220,4790,33140,1580
19,Women,50,830,740,2380,60
20,Men,0,20,930,200550,5730
20,Women,0,0,630,48110,1150
21,Men,0,0,320,68950,2500
21,Women,0,0,880,18090,830
22,Men,0,0,140,15680,380
22,Women,0,0,60,5840,100
23,Men,0,130,510,65240,1670
23,Women,0,80,1260,127070,3260
24,Men,0,30,90,380,0
24,Women,230,1020,19920,15500,510
25,Men,0,0,0,0,0
25,Women,230,1430,14590,7090,740
26,Men,700,15090,38740,10040,2690
26,Women,26800,267740,698380,74440,55930
27,Men,90,1700,24080,9180,1280
27,Women,10,160,5670,3020,280
28,Men,0,1450,12970,6270,630
28,Women,0,1670,34990,11760,1680
29,Men,40,2370,22850,18960,1590
29,Women,200,2240,26960,16820,1460
30,Men,10,150,840,1660,130
30,Women,50,350,4840,6940,280
31,Men,0,20,20,70,0
31,Women,660,10790,78230,2760,4540
32,Men,630,5720,26970,2860,2000
32,Women,60,1020,5370,410,360
33,Men,0,260,2550,1540,270
33,Women,0,3050,57210,31920,4050
34,Men,2650,19020,34940,21320,5280
34,Women,2540,10820,12790,4170,2810
35,Men,1900,20550,19740,29830,3600
35,Women,1240,16550,25180,22410,3160
36,Men,120,1020,7740,3440,630
36,Women,4730,32620,365940,39190,18570
37,Men,1350,22380,17650,67750,3900
37,Women,3950,57060,79070,66640,8570
38,Men,0,430,100,20830,430
38,Women,0,70,60,3920,50
39,Men,210,3680,720,15690,630
39,Women,20,460,380,2140,100
40,Men,170,5260,1800,13320,550
40,Women,20,510,750,3800,60
41,Men,20,620,380,14340,330
41,Women,0,150,110,2260,10
42,Men,280,13410,4450,30360,1450
42,Women,30,1540,1260,4330,170
43,Men,70,2130,620,9050,530
43,Women,20,680,890,2420,140
44,Men,330,7380,2950,40610,1520
44,Women,60,960,870,3370,200
45,Men,0,280,1350,4300,200
45,Women,640,2150,67890,17900,3300
46,Men,20,1200,2300,141520,3090
46,Women,540,2500,43920,212250,6010
47,Men,40,1110,1060,131210,2620
47,Women,150,790,13650,87630,2090
48,Men,90,3290,1590,177080,3780
48,Women,60,1480,5190,81630,1960
49,Men,0,540,510,25730,580
49,Women,50,590,4230,35670,930
50,Men,0,1010,1060,123050,2890
50,Women,0,670,2160,41020,1110
51,Men,1530,20090,9500,36420,2710
51,Women,330,6050,14490,19080,1500
52,Men,2580,17800,9540,63330,3390
52,Women,1240,5930,4100,4130,860
53,Men,90,2300,950,10890,550
53,Women,50,960,1670,6960,400
54,Men,370,6920,3380,42860,2030
54,Women,190,2910,5330,19430,1110
55,Men,1020,6060,3060,7360,840
55,Women,380,3350,4220,3920,830
56,Men,1780,22780,30280,42030,5000
56,Women,600,12010,33010,27730,3480
57,Men,1640,15420,13580,14740,2610
57,Women,450,5630,5770,3930,1040
58,Men,570,3960,1400,6550,800
58,Women,160,1260,1220,6180,380
59,Men,610,8040,5410,18220,1810
59,Women,480,4000,4350,6490,1040
60,Men,50,180,100,5530,90
60,Women,90,1460,8040,16190,630
61,Men,600,2650,820,3800,520
61,Women,780,6580,24840,34020,2530
62,Men,370,2520,410,1200,530
62,Women,730,6120,4050,2640,1380
63,Men,980,11640,6930,16320,2230
63,Women,790,15640,16610,10810,2730
64,Men,200,5600,1520,52510,1640
64,Women,440,5750,15970,39450,1870
65,Men,1280,7560,2120,13030,1250
65,Women,2170,26790,25480,25850,3920
66,Men,1200,5750,620,2920,550
66,Women,30,420,50,140,60
67,Men,220,3650,4410,6450,640
67,Women,0,390,870,660,150
68,Men,2000,29700,16470,85480,5530
68,Women,550,9910,19330,51380,2420
69,Men,5970,120830,28880,189040,10920
69,Women,13490,224630,120690,95270,13490
70,Men,2020,19690,7930,12750,2560
70,Women,8990,136700,94500,47170,16060
71,Men,1070,17570,5980,16890,2020
71,Women,5760,86710,59330,34220,11820
72,Men,15140,275240,67340,385840,41880
72,Women,74700,1031490,623960,407220,156480
73,Men,22800,533420,150150,1108440,67830
73,Women,15170,395010,374840,405850,50120
74,Men,4340,123090,41280,241770,15840
74,Women,42070,586480,301070,199650,56890
75,Men,9640,146460,32450,136220,12580
75,Women,5330,85610,33670,19600,7600
76,Men,3270,63550,16280,127040,8480
76,Women,4450,117620,108170,96480,16470
77,Men,930,7520,530,2930,630
77,Women,2590,11570,2870,750,1420
78,Men,3480,15160,1440,9370,760
78,Women,2830,28390,12950,5920,1680
79,Men,1150,6870,670,1870,560
79,Women,1810,18560,5290,1030,1700
80,Men,10080,89220,10790,31480,9100
80,Women,1810,19590,13050,11250,2970
81,Men,1240,41000,6940,23740,3270
81,Women,2050,48400,20460,14510,3740
82,Men,920,10840,5410,7690,1770
82,Women,1050,25750,20140,11830,3250
83,Men,300,5860,3160,5880,650
83,Women,1130,34740,26170,13280,3980
84,Men,360,5160,3230,6310,720
84,Women,160,4840,4280,2940,660
85,Men,42140,150180,19480,76750,22650
85,Women,19680,64200,20010,8920,9430
86,Men,7570,26820,2740,12860,4930
86,Women,740,3710,950,620,670
87,Men,60770,468830,109030,322420,60900
87,Women,159030,1330350,490240,200100,154580
88,Men,3170,8960,1070,3340,1190
88,Women,3470,13960,3980,1420,1530
89,Men,6240,13890,1200,2380,2510
89,Women,670,1230,230,50,260
90,Men,1590,12220,2390,14600,2140
90,Women,190,1890,1700,1720,440
91,Men,3220,27400,6160,34430,5340
91,Women,850,8540,4130,4310,1320
92,Men,940,12830,2200,11940,1440
92,Women,280,4360,2090,1190,780
93,Men,13260,46160,10170,57170,8980
93,Women,15490,81090,39020,25180,12640
94,Men,280,12620,3210,71330,4240
94,Women,100,1090,770,7520,370
95,Men,11630,189160,68590,332610,33700
95,Women,640,9680,8240,17200,1910
96,Men,1970,56370,12480,191740,10710
96,Women,11050,128810,47010,40120,18790
97,Men,2600,27630,7960,45350,6230
97,Women,390,5830,4410,5210,1430
98,Men,52060,574460,139960,800750,95590
98,Women,6720,68050,41050,58860,13130
99,Men,90,190,0,90,30
99,Women,3970,8110,1470,470,1960
100,Men,100,230,10,100,50
100,Women,720,2760,2250,810,680
101,Men,7880,84830,64030,59360,11020
101,Women,51790,398910,202300,51000,48510
102,Men,1220,8900,3190,5940,1110
102,Women,22260,141290,55520,15460,19710
103,Men,790,4830,2210,1520,570
103,Women,11480,77320,27610,5160,10000
104,Men,330,2850,2090,1710,370
104,Women,4570,82740,55650,15670,8340
105,Men,32520,41770,21930,2100,11980
105,Women,26480,28270,13600,280,7590
106,Men,4420,31650,36120,2960,8140
106,Women,42300,109930,92440,2590,28140
107,Men,530,2490,1360,450,460
107,Women,7210,45830,33180,7680,7660
108,Men,2840,7610,970,2840,930
108,Women,5500,15260,3610,760,1860
109,Men,16170,25510,2600,4350,4650
109,Women,17960,45100,7650,1510,7620
110,Men,117430,386010,86690,80120,64240
110,Women,156900,602280,193820,42940,86750
111,Men,550,2750,570,720,380
111,Women,180,530,380,210,40
112,Men,7060,30890,5990,17410,6330
112,Women,15410,37950,6280,2880,10940
113,Men,2380,8480,1530,5770,700
113,Women,1660,3770,1350,740,440
114,Men,12880,67830,18130,28120,10820
114,Women,81900,354030,118680,43230,52220
115,Men,630,1810,180,230,180
115,Women,7810,16480,2420,930,2840
116,Men,18780,105540,22160,46520,11600
116,Women,24950,139020,46420,22730,14890
117,Men,6580,40530,6090,36220,7930
117,Women,5640,28580,12850,7230,5800
118,Men,2710,19420,3830,16700,3370
118,Women,1100,5200,2990,1950,1020
119,Men,8870,27970,2450,12380,4860
119,Women,1500,5450,2210,1280,950
120,Men,280,2740,1590,3600,410
120,Women,280,3580,3450,3150,480
121,Men,210,320,50,110,50
121,Women,120,350,250,60,80
122,Men,1860,18130,4650,9750,1950
122,Women,1610,16050,8820,3280,1870
