gender,occ,jtitle,num
Men,1,管理的公務員,51560
Women,1,管理的公務員,5920
Men,2,会社役員,908870
Women,2,会社役員,185890
Men,3,その他の法人・団体役員,44540
Women,3,その他の法人・団体役員,12420
Men,4,法人・団体管理的職業従事者,152130
Women,4,法人・団体管理的職業従事者,10070
Men,5,他に分類されない管理的職業従事者,58420
Women,5,他に分類されない管理的職業従事者,17370
Men,6,自然科学系研究者,85990
Women,6,自然科学系研究者,22870
Men,7,人文・社会科学系等研究者,4520
Women,7,人文・社会科学系等研究者,1560
Men,8,農林水産・食品技術者,39930
Women,8,農林水産・食品技術者,9920
Men,9,電気・電子・電気通信技術者（通信ネットワーク技術者を除く）,281640
Women,9,電気・電子・電気通信技術者（通信ネットワーク技術者を除く）,13620
Men,10,機械技術者,234740
Women,10,機械技術者,11160
Men,11,輸送用機器技術者,123410
Women,11,輸送用機器技術者,5660
Men,12,金属技術者,23840
Women,12,金属技術者,950
Men,13,化学技術者,70990
Women,13,化学技術者,13480
Men,14,建築技術者,209950
Women,14,建築技術者,25240
Men,15,土木・測量技術者,231150
Women,15,土木・測量技術者,8860
Men,16,システムコンサルタント・設計者,493560
Women,16,システムコンサルタント・設計者,71050
Men,17,ソフトウェア作成者,220590
Women,17,ソフトウェア作成者,39640
Men,18,その他の情報処理・通信技術者,150200
Women,18,その他の情報処理・通信技術者,25910
Men,19,その他の技術者,67040
Women,19,その他の技術者,6530
Men,20,医師,216320
Women,20,医師,58930
Men,21,歯科医師,73400
Women,21,歯科医師,21930
Men,22,獣医師,15940
Women,22,獣医師,7060
Men,23,薬剤師,73800
Women,23,薬剤師,144950
Men,24,保健師,820
Women,24,保健師,38710
Men,25,助産師,0
Women,25,助産師,25650
Men,26,看護師（准看護師を含む）,86710
Women,26,看護師（准看護師を含む）,1213350
Men,27,診療放射線技師,38940
Women,27,診療放射線技師,11540
Men,28,臨床検査技師,22480
Women,28,臨床検査技師,54000
Men,29,理学療法士，作業療法士,74690
Women,29,理学療法士，作業療法士,68800
Men,30,視能訓練士，言語聴覚士,3620
Women,30,視能訓練士，言語聴覚士,15590
Men,31,歯科衛生士,190
Women,31,歯科衛生士,106700
Men,32,歯科技工士,35570
Women,32,歯科技工士,7220
Men,33,栄養士,4890
Women,33,栄養士,109480
Men,34,あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師,87780
Women,34,あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師,32140
Men,35,その他の保健医療従事者,81290
Women,35,その他の保健医療従事者,72880
Men,36,保育士,15980
Women,36,保育士,526620
Men,37,その他の社会福祉専門職業従事者,159240
Women,37,その他の社会福祉専門職業従事者,311370
Men,38,裁判官，検察官，弁護士,24600
Women,38,裁判官，検察官，弁護士,4920
Men,39,弁理士，司法書士,21200
Women,39,弁理士，司法書士,4060
